Date,Open,High,Low,Close,Volume
2018/1/1 6:37,13180,13185.08935,13150.00006,13180,13.38616066
2018/1/1 6:38,13172.39898,13176.90584,13150.00006,13176,4.58512749
2018/1/1 6:39,13170.00299,13170.00299,13150.00006,13150.00006,2.28128733
2018/1/1 6:40,13150.00006,13150.00006,13100,13150.00006,8.20773317
2018/1/1 6:41,13145,13145,13121.725,13144,1.59881766
2018/1/1 6:42,13144,13150.00006,13123,13148,29.17600605
2018/1/1 6:43,13148,13162,13148,13160,17.11136563
2018/1/1 6:44,13160,13160,13160,13160,5.42830524
2018/1/1 6:45,13160,13160,13151.7119,13158,24.1732952
2018/1/1 6:46,13158,13160,13158,13160,8.21165652
2018/1/1 6:47,13158,13158,13150.68952,13151.00362,6.34548863
2018/1/1 6:48,13158,13160,13151.00362,13160,7.89376576
2018/1/1 6:49,13160,13160,13160,13160,7.32906684
2018/1/1 6:50,13159.9999,13160,13158,13158,0.82262755
2018/1/1 6:51,13158,13158,13158,13158,3.70406404
2018/1/1 6:52,13158,13162,13157.999,13157.999,3.19227265
2018/1/1 6:53,13160,13162,13157.999,13162,1.05075938
2018/1/1 6:54,13162,13162,13159.855,13159.855,4.64727259
2018/1/1 6:55,13159.855,13162,13149.855,13159.855,2.16787799
2018/1/1 6:56,13159.855,13182,13159.855,13159.855,12.35678445
2018/1/1 6:57,13160,13161,13150,13150,4.18022489
2018/1/1 6:58,13150,13156.95213,13116.7119,13147.29122,3.45522344
2018/1/1 6:59,13146.29122,13146.29122,13116.7119,13146.29122,1.01473602
2018/1/1 7:00,13156,13156,13100,13145,9.84820142
2018/1/1 7:01,13142.29957,13143,13138.81047,13138.81047,0.10292679
2018/1/1 7:02,13121.85293,13121.85293,13091.26143,13098.1,1.17290417
2018/1/1 7:03,13091.26143,13091.26143,13012,13012,16.62447005
2018/1/1 7:04,13012,13032.0188,12996,13000,23.3612782
2018/1/1 7:05,12994.52574,13000,12935.53,12952.5436,8.08628607
2018/1/1 7:06,12947,12952.5436,12933.71983,12945.40457,3.28481011
2018/1/1 7:07,12941.53,12953.3427,12900,12900.53,6.85165847
2018/1/1 7:08,12900.53,12925,12893.56966,12899.95,17.61541034
2018/1/1 7:09,12899.95,12931.58627,12899.88793,12911.74926,7.361398
2018/1/1 7:10,12931.58627,12970,12930.74926,12938.74926,4.06363765
2018/1/1 7:11,12938.74926,12970,12938.74926,12955,1.7478498
2018/1/1 7:12,12955,12975.11139,12955,12955,3.10556395
2018/1/1 7:13,12974,13030.64,12972.36776,13000,3.10347778
2018/1/1 7:14,13032.06392,13075.17988,13000.33343,13040,1.86686871
2018/1/1 7:15,13055.95865,13055.95865,13040,13040,1.95487728
2018/1/1 7:16,13040,13044.15719,13022.17988,13040,3.12214299
2018/1/1 7:17,13040,13050,13024.15719,13049.36776,4.40932299
2018/1/1 7:18,13044.66078,13084.15333,13044.66078,13083.66078,1.63742939
2018/1/1 7:19,13080.14664,13096.14664,13055.14664,13085.93413,1.28964558
2018/1/1 7:20,13096.14664,13117.78385,13096.14664,13110,4.34718193
2018/1/1 7:21,13110,13115.78385,13110,13110,16.75599043
2018/1/1 7:22,13111,13115,13111,13112.12585,1.28195939
2018/1/1 7:23,13112.12585,13113.5688,13112.12585,13113.5688,0.1017176
2018/1/1 7:24,13113.5688,13115,13113,13115,0.41918527
2018/1/1 7:25,13113.12595,13115,13059.07355,13103.5788,7.72336889
2018/1/1 7:26,13059.07355,13086.66,13040,13040,4.4956688
2018/1/1 7:27,13037.34409,13042.07,13008.91527,13008.91527,4.10351481
2018/1/1 7:28,13008.91527,13042.07,13008.91527,13025,1.94578507
2018/1/1 7:29,13025,13025,13010.40346,13010.40346,1.41251903
2018/1/1 7:30,13021.41527,13025,13001.25647,13001.25647,0.33273077
2018/1/1 7:31,13000.5688,13025,13000.5688,13025,0.28734074
2018/1/1 7:32,13025,13038.025,13025,13025.55,3.0803974
2018/1/1 7:33,13023.12984,13023.12984,13000.5688,13000.5688,0.26743142
2018/1/1 7:34,13022.40346,13022.40346,12990.07,12997.199,2.24431602
2018/1/1 7:35,12990.07,13000,12990.07,12990.07,0.63827626
2018/1/1 7:36,12990.07,13025.55,12990.07,12999.40346,6.20903811
2018/1/1 7:37,13025.55,13060,13006.27846,13060,7.87372337
2018/1/1 7:38,13029.12,13119.47793,13029.12,13119.34674,8.59485174
2018/1/1 7:39,13060,13102.2018,13060,13102.2018,1.00614058
2018/1/1 7:40,13061,13102.2018,13044,13096.77461,4.80018073
2018/1/1 7:41,13096.77461,13109.77461,13096.77461,13096.77461,1.69013144
2018/1/1 7:42,13096.77461,13108.77461,13096.77461,13096.77461,1.12563243
2018/1/1 7:43,13096.77461,13118.09467,13066.19396,13097,3.81493005
2018/1/1 7:44,13097,13112.09467,13058.52116,13106.13617,0.71859731
2018/1/1 7:45,13058.52116,13095.68909,13048.12,13048.12,0.75116461
2018/1/1 7:46,13048.12,13073.33505,13043.54079,13043.54079,5.28079566
2018/1/1 7:47,13058.43792,13072.14793,13043.54079,13056.9475,1.49087655
2018/1/1 7:48,13056.9475,13073.33505,13031.14793,13032.94749,12.48583176
2018/1/1 7:49,13032.94749,13032.94749,12990.12984,13000.22439,7.05671567
2018/1/1 7:50,13000.22439,13000.22439,12952.36582,12954.36582,8.02370096
2018/1/1 7:51,12954.36582,13029.54079,12954.36582,12980.26505,2.59614896
2018/1/1 7:52,12980.26505,13016.0469,12946.26505,12947.26505,6.19468942
2018/1/1 7:53,12947.26505,12961.26505,12930.12,12945.26505,5.87084603
2018/1/1 7:54,12930,12947.12,12927.34841,12940.26505,6.11665819
2018/1/1 7:55,12961.26505,12980.26505,12940.26505,12953.17691,1.74376919
2018/1/1 7:56,12956.17691,12974.9,12946,12974.9,2.46343294
2018/1/1 7:57,12974.9,12974.9,12950.87414,12950.87414,3.00640369
2018/1/1 7:58,12968,12968,12950.87414,12968,2.15472311
2018/1/1 7:59,12968.93298,12995.73855,12968.93298,12994.93297,4.78211232
2018/1/1 8:00,12995.73855,13022.93664,12994.93297,12994.93298,14.87470148
2018/1/1 8:01,12995.6466,13023.27602,12988.90086,13000,3.0928648
2018/1/1 8:02,12999.70904,13000,12988.90086,12998.16344,4.57775685
2018/1/1 8:03,12995.73855,12997.17315,12927.34841,12950.07821,4.41241109
2018/1/1 8:04,12950.07821,12950.70904,12912.64486,12912.64486,2.81770078
